Street_Name,Total_Crashes,Fatal_Crashes,Serious_Injuries,Dominant_Jurisdiction,Mixed_Jurisdiction,SPDLIMIT,LANES
POPLAR AVE,44,8,5,City of Memphis,True,40.0,7
UNION AVE,36,8,10,TDOT state route,False,35.0,6
LAMAR AVE,30,6,9,TDOT state route,False,40.0,7
WINCHESTER RD,28,5,6,City of Memphis,False,45.0,7
PARK AVE,24,4,7,City of Memphis,False,40.0,4
E SHELBY DR,20,3,3,TDOT state route,False,45.0,7
JACKSON AVE,20,2,3,TDOT state route,False,40.0,4
S THIRD ST,18,7,3,TDOT state route,False,45.0,7
E RAINES RD,18,3,3,City of Memphis,False,40.0,5
SUMMER AVE,17,4,5,TDOT state route,False,40.0,7
ELVIS PRESLEY BLVD,17,2,3,TDOT state route,False,40.0,5
AIRWAYS BLVD,15,3,4,City of Memphis,True,40.0,7
GETWELL RD,15,2,5,TDOT state route,True,40.0,7
MILLBRANCH RD,15,0,5,City of Memphis,False,40.0,4
N WATKINS ST,14,1,1,City of Memphis,False,40.0,5
MADISON AVE,13,3,1,City of Memphis,False,35.0,3
KNIGHT ARNOLD RD,13,1,3,City of Memphis,False,40.0,4
CHELSEA AVE,12,2,3,City of Memphis,True,40.0,5
E BROOKS RD,11,3,3,City of Memphis,False,45.0,7
S PARKWAY E,11,2,4,City of Memphis,False,35.0,5
S PERKINS RD,10,2,2,City of Memphis,False,40.0,7
FRAYSER BLVD,10,1,3,City of Memphis,False,40.0,4
SYCAMORE VIEW RD,9,2,2,City of Memphis,False,45.0,7
N HOLLYWOOD ST,8,4,0,City of Memphis,False,40.0,2
INTERSTATE 240 W,8,2,2,Interstate (TDOT),False,65.0,3
AMERICAN WAY,8,2,2,City of Memphis,False,45.0,5
QUINCE RD,8,1,3,City of Memphis,False,40.0,4
WHITNEY AVE,8,1,2,City of Memphis,False,40.0,2
THOMAS ST,8,0,1,TDOT state route,False,40.0,2
KERR AVE,8,0,1,City of Memphis,False,35.0,3
RALEIGH MILLINGTON RD,7,3,2,City of Memphis,False,40.0,4
RALEIGH LAGRANGE RD,7,3,1,City of Memphis,False,45.0,2
PRESCOTT RD,7,2,2,City of Memphis,False,40.0,4
MACON RD,7,1,3,City of Memphis,False,40.0,4
RIVERDALE RD,7,1,3,City of Memphis,True,45.0,6
E HOLMES RD,7,1,2,City of Memphis,False,40.0,2
SOUTHERN AVE,7,0,0,City of Memphis,False,35.0,2
ADAMS AVE,7,0,4,City of Memphis,False,30.0,2
S MENDENHALL RD,7,0,2,City of Memphis,False,40.0,7
E MALLORY AVE,6,2,0,City of Memphis,False,35.0,2
E MCLEMORE AVE,6,2,1,City of Memphis,False,35.0,2
S HIGHLAND ST,6,2,0,City of Memphis,False,35.0,5
N DUNLAP ST,6,1,0,City of Memphis,False,30.0,2
MOUNT MORIAH ROAD EXT,6,0,1,City of Memphis,False,40.0,5
S BELLEVUE BLVD,6,0,1,TDOT state route,False,35.0,4
INTERSTATE 40 W,5,2,1,Interstate (TDOT),False,65.0,4
INTERSTATE 240 E,5,2,1,Interstate (TDOT),False,65.0,3
ALLEY,5,2,0,City of Memphis,False,25.0,1
WALNUT GROVE RD,5,1,2,TDOT state route,True,35.0,5
NATIONAL ST,5,1,3,City of Memphis,False,40.0,4
JEFFERSON AVE,5,1,0,City of Memphis,False,40.0,4
NEW COVINGTON PIKE,5,0,1,TDOT state route,False,45.0,5
BEALE ST,5,0,1,City of Memphis,False,30.0,2
PENDLETON ST,5,0,1,City of Memphis,False,40.0,4
NORRIS RD,5,0,2,City of Memphis,False,40.0,4
N SECOND ST,5,0,1,TDOT state route,False,35.0,3
N B B KING BLVD,4,1,0,TDOT state route,False,35.0,3
S MCLEAN BLVD,4,1,2,City of Memphis,False,35.0,4
DR MARTIN LUTHER KING JR AVE,4,1,0,TDOT state route,False,35.0,5
YALE RD,4,1,1,City of Memphis,False,40.0,5
S PAULINE ST,4,0,1,City of Memphis,False,30.0,4
PRIVATE DR,4,0,0,City of Memphis,False,30.0,2
CARNES AVE,4,0,2,City of Memphis,True,30.0,2
WESLEY DR,4,0,1,City of Memphis,False,30.0,2
TILLMAN ST,4,0,1,City of Memphis,False,35.0,4
EASTMORELAND AVE,4,0,3,City of Memphis,False,30.0,2
E PARKWAY N,4,0,1,TDOT state route,False,40.0,3
E ALCY RD,4,0,0,City of Memphis,False,35.0,2
RIDGEWAY RD,4,0,0,City of Memphis,False,40.0,5
COVINGTON PIKE,4,0,1,TDOT state route,False,40.0,5
W RAINES RD,4,0,0,City of Memphis,False,40.0,5
DELLWOOD AVE,4,0,1,City of Memphis,False,35.0,2
SAM COOPER BLVD,3,2,1,City of Memphis,False,40.0,6
INTERSTATE 40 E,3,2,0,Interstate (TDOT),False,65.0,4
S WHITE STATION RD,3,2,0,City of Memphis,False,40.0,4
OVERTON CROSSING ST,3,1,0,City of Memphis,False,40.0,5
YOUNG AVE,3,1,1,City of Memphis,False,35.0,2
CENTRAL AVE,3,1,1,City of Memphis,False,40.0,4
LATHAM ST,3,1,0,City of Memphis,False,30.0,2
BARRON AVE,3,1,0,City of Memphis,False,30.0,2
FRAYSER RALEIGH RD,3,1,0,City of Memphis,False,45.0,5
DEMOCRAT RD,3,1,0,City of Memphis,False,45.0,5
OLD GETWELL RD,3,1,0,City of Memphis,False,30.0,2
EGYPT CENTRAL RD,3,1,0,City of Memphis,False,45.0,2
N GERMANTOWN PKWY,3,1,0,TDOT state route,False,45.0,7
N WHITE STATION RD,3,1,1,City of Memphis,False,40.0,5
ROYAL OAKS CV,3,0,1,City of Memphis,False,35.0,2
VANCE AVE,3,0,0,City of Memphis,False,30.0,2
WILLOW RD,3,0,1,City of Memphis,False,35.0,2
STAGE RD,3,0,0,TDOT state route,False,45.0,6
JAMES RD,3,0,2,City of Memphis,False,45.0,4
S MAIN ST,3,0,1,City of Memphis,False,30.0,1
DEXTER RD,3,0,1,City of Memphis,False,35.0,4
DUNN AVE,3,0,0,City of Memphis,False,30.0,2
N AVALON ST,3,0,1,City of Memphis,False,35.0,2
