MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash
301006032,2025-03-12,2025-03-12 15:56:00,2025,3,Wednesday,15,35.201965,-89.73099,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301001230,2025-02-12,2025-02-12 08:15:00,2025,2,Wednesday,8,35.155872,-90.04052,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301005936,2025-03-11,2025-03-11 22:08:00,2025,3,Tuesday,22,35.069364,-89.922177,Fatal,Pedestrian,Not Intersection-Unknown,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301008594,2025-03-26,2025-03-26 15:40:00,2025,3,Wednesday,15,35.145138,-90.031746,Possible Injury,Pedestrian,Not Intersection-Bike Path,AccelDecelLane,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301010247,2025-04-04,2025-04-04 01:40:00,2025,4,Friday,1,35.161095,-89.99896,No Injury,Pedestrian,Intersection-Not on Roadway,Intersection,Dark-Lighted,Unknown,Other,1
301009498,2025-03-31,2025-03-31 13:50:00,2025,3,Monday,13,35.116043,-89.93972,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301020107,2025-05-18,2025-05-18 03:00:00,2025,5,Sunday,3,35.005596,-89.830953,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
301014717,2025-04-28,2025-04-28 01:40:00,2025,4,Monday,1,35.020542,-90.099464,Suspected Serious Injury,Pedestrian,Intersection-Unknown,Unknown,Dark-Not Lighted,Unknown,Other,1
301014059,2025-04-23,2025-04-23 18:00:00,2025,4,Wednesday,18,35.17751,-89.95316,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Crosswalk Availability Unknown,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300999941,2025-02-05,2025-02-05 00:27:00,2025,2,Wednesday,0,35.13684,-90.01668,Fatal,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
