MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash,InMemphis,StateRoute_NAME,StateRoute_F_System,StateRoute_SPDLIMIT,StateRoute_LANES,StateRoute_ALTNAME_1,StateRoute_Council_District,DistToStateRoute_m,Street_Name,DistToStreet_m,Street_SPDLIMIT,Street_LANES,Street_ONEWAY,Street_CITY_L,Street_COUNTY_L,Seg_OBJECTID,DistToSeg_m,Ownership,Rule_Fired,Classification_Basis,Matched_Street,is_limited_access,is_override,is_corner_case,Jurisdiction_prev
301006032,3/12/2025,3/12/2025 15:56,2025,3,Wednesday,15,35.201965,-89.73099,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,431.7043441,N HOUSTON LEVEE RD,12.7625291,40,3,B,MEMPHIS,SHELBY,75180,12.762529097401742,City of Memphis,city_residual,city: no state-route overlap,N HOUSTON LEVEE RD,False,False,False,City of Memphis
301001230,2/12/2025,2/12/2025 8:15,2025,2,Wednesday,8,35.155872,-90.04052,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,A W WILLIS AVE,,35.0,5.0,1,7.0,5.12284581,SAINT JUDE PL,0.387691636,30,4,B,MEMPHIS,SHELBY,55669,0.3876916362030846,City of Memphis,city_residual,city: no state-route overlap,SAINT JUDE PL,False,False,False,City of Memphis
301005936,3/11/2025,3/11/2025 22:08,2025,3,Tuesday,22,35.069364,-89.922177,Fatal,Pedestrian,Not Intersection-Unknown,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,906.1741083,COTTONWOOD RD,2.280494468,35,2,B,MEMPHIS,SHELBY,71172,2.2804944681848824,City of Memphis,city_residual,city: no state-route overlap,COTTONWOOD RD,False,False,False,City of Memphis
301008594,3/26/2025,3/26/2025 15:40,2025,3,Wednesday,15,35.145138,-90.031746,Possible Injury,Pedestrian,Not Intersection-Bike Path,AccelDecelLane,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,740.9813599,POPLAR AVE,34.89043561,40,7,B,MEMPHIS,SHELBY,50350,34.890435607312114,City of Memphis,city_residual,city: no state-route overlap,POPLAR AVE,False,False,False,City of Memphis
301010247,4/4/2025,4/4/2025 1:40,2025,4,Friday,1,35.161095,-89.99896,No Injury,Pedestrian,Intersection-Not on Roadway,Intersection,Dark-Lighted,Unknown,Other,1,True,,,,,,,33.54386974,HAWTHORNE ST,24.70329702,30,2,B,MEMPHIS,SHELBY,81522,24.70329702097641,City of Memphis,city_residual,city: no state-route overlap,HAWTHORNE ST,False,False,False,City of Memphis
301009498,3/31/2025,3/31/2025 13:50,2025,3,Monday,13,35.116043,-89.93972,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,1142.493342,SOUTHERN AVE,0.315224454,35,2,B,MEMPHIS,SHELBY,51274,0.31522445425204326,City of Memphis,city_residual,city: no state-route overlap,SOUTHERN AVE,False,False,False,City of Memphis
301014717,4/28/2025,4/28/2025 1:40,2025,4,Monday,1,35.020542,-90.099464,Suspected Serious Injury,Pedestrian,Intersection-Unknown,Unknown,Dark-Not Lighted,Unknown,Other,1,True,,,,,,,797.8306167,W SHELBY DR,0.272905128,35,2,B,MEMPHIS,SHELBY,34171,0.27290512827894664,City of Memphis,city_residual,city: no state-route overlap,W SHELBY DR,False,False,False,City of Memphis
301014059,4/23/2025,4/23/2025 18:00,2025,4,Wednesday,18,35.17751,-89.95316,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Crosswalk Availability Unknown,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,1054.364066,ASH ST,42.80559262,25,2,B,MEMPHIS,SHELBY,83052,42.80559262060615,City of Memphis,city_residual,city: no state-route overlap,ASH ST,False,False,False,City of Memphis
300999941,2/5/2025,2/5/2025 0:27,2025,2,Wednesday,0,35.13684,-90.01668,Fatal,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,UNION AVE,Principal Arterial,35.0,6.0,23,6.0,5.167134977,UNION AVE,0.585222462,35,6,B,MEMPHIS,SHELBY,48098,0.5852224618034595,TDOT state route,state_route_overlap,"state route: 100% overlap, name=UNION",UNION AVE,False,False,False,TDOT state route
300996895,1/17/2025,1/17/2025 10:29,2025,1,Friday,10,35.135574,-89.96227,Suspected Serious Injury,Pedestrian,Intersection-In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,WALNUT GROVE RD,Minor Arterial,35.0,5.0,23,5.0,10.60576837,WALNUT GROVE RD,6.236877613,35,5,B,MEMPHIS,SHELBY,47014,6.236877612653028,TDOT state route,state_route_overlap,"state route: 100% overlap, name=WALNUT GROVE",WALNUT GROVE RD,False,False,False,TDOT state route
301023740,6/17/2025,6/17/2025 3:50,2025,6,Tuesday,3,35.008976,-89.9995,No Injury,Pedestrian,Not Intersection-Outside Traffic,Through Roadway,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Other,2,True,,,,,,,1342.77347,PENNEL RD,33.27375152,30,2,B,MEMPHIS,SHELBY,72482,33.27375151627722,City of Memphis,city_residual,city: no state-route overlap,PENNEL RD,False,False,False,City of Memphis
301026096,6/27/2025,6/27/2025 21:30,2025,6,Friday,21,35.059555,-90.0246,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,OtherLocation,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,47.81988845,ELVIS PRESLEY BLVD,48.95283298,40,7,B,MEMPHIS,SHELBY,46510,48.952832975513836,TDOT state route,state_route_overlap,"state route: 100% overlap, name=ELVIS PRESLEY",ELVIS PRESLEY BLVD,False,False,False,TDOT state route
301025660,6/28/2025,6/28/2025 4:39,2025,6,Saturday,4,35.167934,-90.00019,Fatal,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Dark-Unknown Lighting,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,773.3552146,N EVERGREEN ST,13.49193913,35,3,B,MEMPHIS,SHELBY,81441,13.491939131674402,City of Memphis,city_residual,city: no state-route overlap,N EVERGREEN ST,False,False,False,City of Memphis
301032076,8/1/2025,8/1/2025 10:30,2025,8,Friday,10,35.160454,-89.99635,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,JACKSON AVE,Principal Arterial,40.0,4.0,14,7.0,4.527703936,JACKSON AVE,0.022319048,40,4,B,MEMPHIS,SHELBY,46838,0.02231904769917383,TDOT state route,state_route_overlap,"state route: 100% overlap, name=JACKSON",JACKSON AVE,False,False,False,TDOT state route
301026847,7/4/2025,7/4/2025 21:24,2025,7,Friday,21,35.039665,-90.079409,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,733.8647761,LILLIAN DR,0.024364278,30,2,B,MEMPHIS,SHELBY,27037,0.02436427753504891,City of Memphis,city_residual,city: no state-route overlap,LILLIAN DR,False,False,False,City of Memphis
