MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash,InMemphis,Jurisdiction,StateRoute_NAME,StateRoute_F_System,StateRoute_SPDLIMIT,StateRoute_LANES,StateRoute_ALTNAME_1,StateRoute_Council_District,DistToStateRoute_m,Street_Name,DistToStreet_m,Street_SPDLIMIT,Street_LANES,Street_ONEWAY,Street_CITY_L,Street_COUNTY_L,Jurisdiction_prev,Seg_OBJECTID,DistToSeg_m
301006032,3/12/2025,3/12/2025 15:56,2025,3,Wednesday,15,35.201965,-89.73099,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,431.7043441,N HOUSTON LEVEE RD,12.7625291,40,3,B,MEMPHIS,SHELBY,City of Memphis,75180,12.7625291
301001230,2/12/2025,2/12/2025 8:15,2025,2,Wednesday,8,35.155872,-90.04052,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,A W WILLIS AVE,,35,5,1,7,5.12284581,SAINT JUDE PL,0.387691636,30,4,B,MEMPHIS,SHELBY,TDOT,55669,0.387691636
301005936,3/11/2025,3/11/2025 22:08,2025,3,Tuesday,22,35.069364,-89.922177,Fatal,Pedestrian,Not Intersection-Unknown,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,906.1741083,COTTONWOOD RD,2.280494468,35,2,B,MEMPHIS,SHELBY,City of Memphis,71172,2.280494468
301008594,3/26/2025,3/26/2025 15:40,2025,3,Wednesday,15,35.145138,-90.031746,Possible Injury,Pedestrian,Not Intersection-Bike Path,AccelDecelLane,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,740.9813599,POPLAR AVE,34.89043561,40,7,B,MEMPHIS,SHELBY,City of Memphis,50350,34.89043561
301010247,4/4/2025,4/4/2025 1:40,2025,4,Friday,1,35.161095,-89.99896,No Injury,Pedestrian,Intersection-Not on Roadway,Intersection,Dark-Lighted,Unknown,Other,1,TRUE,City of Memphis,,,,,,,33.54386974,HAWTHORNE ST,24.70329702,30,2,B,MEMPHIS,SHELBY,City of Memphis,81522,24.70329702
301009498,3/31/2025,3/31/2025 13:50,2025,3,Monday,13,35.116043,-89.93972,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1142.493342,SOUTHERN AVE,0.315224454,35,2,B,MEMPHIS,SHELBY,City of Memphis,51274,0.315224454
301014717,4/28/2025,4/28/2025 1:40,2025,4,Monday,1,35.020542,-90.099464,Suspected Serious Injury,Pedestrian,Intersection-Unknown,Unknown,Dark-Not Lighted,Unknown,Other,1,TRUE,City of Memphis,,,,,,,797.8306167,W SHELBY DR,0.272905128,35,2,B,MEMPHIS,SHELBY,City of Memphis,34171,0.272905128
301014059,4/23/2025,4/23/2025 18:00,2025,4,Wednesday,18,35.17751,-89.95316,Suspected Minor Injury,Pedestrian,Not Intersection-On Roadway Crosswalk Availability Unknown,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,City of Memphis,,,,,,,1054.364066,ASH ST,42.80559262,25,2,B,MEMPHIS,SHELBY,City of Memphis,83052,42.80559262
300999941,2/5/2025,2/5/2025 0:27,2025,2,Wednesday,0,35.13684,-90.01668,Fatal,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,TDOT state route,UNION AVE,Principal Arterial,35,6,23,6,5.167134977,UNION AVE,0.585222462,35,6,B,MEMPHIS,SHELBY,TDOT,48098,0.585222462
300996895,1/17/2025,1/17/2025 10:29,2025,1,Friday,10,35.135574,-89.96227,Suspected Serious Injury,Pedestrian,Intersection-In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,TDOT state route,WALNUT GROVE RD,Minor Arterial,35,5,23,5,10.60576837,WALNUT GROVE RD,6.236877613,35,5,B,MEMPHIS,SHELBY,TDOT,47014,6.236877613
301023740,6/17/2025,6/17/2025 3:50,2025,6,Tuesday,3,35.008976,-89.9995,No Injury,Pedestrian,Not Intersection-Outside Traffic,Through Roadway,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Other,2,TRUE,City of Memphis,,,,,,,1342.77347,PENNEL RD,33.27375152,30,2,B,MEMPHIS,SHELBY,City of Memphis,72482,33.27375152
301026096,6/27/2025,6/27/2025 21:30,2025,6,Friday,21,35.059555,-90.0246,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,OtherLocation,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,TRUE,TDOT state route,,,,,,,47.81988845,ELVIS PRESLEY BLVD,48.95283298,40,7,B,MEMPHIS,SHELBY,City of Memphis,46510,48.95283298
