Street_Name,signals,own
POPLAR AVE,264,TDOT state route
WINCHESTER RD,216,City
E SHELBY DR,105,TDOT state route
W POPLAR AVE,81,City
S GERMANTOWN RD,80,City
SUMMER AVE,80,TDOT state route
ELVIS PRESLEY BLVD,79,TDOT state route
LAMAR AVE,77,TDOT state route
RIVERDALE RD,67,City
E BROOKS RD,65,City
WALNUT GROVE RD,63,TDOT state route
JACKSON AVE,59,TDOT state route
STAGE RD,57,City
US HIGHWAY 64,52,TDOT state route
UNION AVE,52,TDOT state route
N GERMANTOWN PKWY,47,TDOT state route
S THIRD ST,47,TDOT state route
AMERICAN WAY,46,City
S HOUSTON LEVEE RD,44,City
ELMORE RD,42,City
ACCESS RD,41,City
RIDGEWAY RD,41,City
N US HIGHWAY 51,40,City
AIRWAYS BLVD,40,City
S PERKINS RD,38,City
COVINGTON PIKE,38,TDOT state route
AUSTIN PEAY HWY,37,TDOT state route
PRIVATE DR,37,City
N PARKWAY,34,TDOT state route
YALE RD,34,City
RALEIGH LAGRANGE RD,34,City
DEMOCRAT RD,32,City
PARK AVE,32,City
S MENDENHALL RD,31,City
S PARKWAY E,31,City
US HIGHWAY 70,31,City
N BELLEVUE BLVD,31,City
KIRBY WHITTEN PKWY,28,City
MILLBRANCH RD,28,City
KIRBY PKWY,27,City
COLEMAN RD,27,City
BARTLETT BLVD,26,City
S COOPER ST,26,City
BAILEY STATION RD,25,City
N EVERGREEN ST,25,City
AYERS ST,25,City
W K SINGLETON PKWY,24,City
TCHULAHOMA RD,24,City
CUBA MILLINGTON RD,24,City
S LAUDERDALE ST,24,City
ROSS RD,24,City
SHELBY OAKS DR,24,City
N PERKINS RD,24,City
N MENDENHALL RD,24,City
E MITCHELL RD,24,City
E E H CRUMP BLVD,23,TDOT state route
APPLING RD,23,City
CLARKE RD,22,City
N WATKINS ST,22,City
HICKORY HILL RD,22,City
THOMAS ST,21,TDOT state route
N MCLEAN BLVD,21,City
S BYHALIA RD,20,City
S GOODLETT ST,20,City
S MCLEAN BLVD,20,City
E PARKWAY N,20,TDOT state route
MISSISSIPPI BLVD,20,City
KNIGHT ARNOLD RD,20,City
KERR AVE,19,City
WEST ST,19,City
E WINCHESTER BLVD,18,City
N WHITE STATION RD,18,City
WARING RD,18,City
SYCAMORE VIEW RD,18,City
E POPLAR AVE,18,City
W MALLORY AVE,17,City
PRESCOTT RD,17,City
GOODLETT RD,16,City
FRAYSER BLVD,16,City
DEXTER RD,16,City
WOLFCREEK PKWY,16,City
HACKS CROSS RD,16,City
ELMORE PARK RD,16,City
ALTRURIA RD,16,City
WASHINGTON AVE,16,City
W RAINES RD,16,City
W MASSEY RD,16,City
TRINITY RD,16,City
E PARKWAY S,16,TDOT state route
POPE ST,16,City
COVINGTON WAY,16,City
S DANNY THOMAS BLVD,16,TDOT state route
OLD AUSTIN PEAY HWY,16,City
CLEARBROOK ST,16,City
CLUB PKWY,16,City
BOEINGSHIRE DR,16,City
BELLEVUE PKWY,16,City
BREEDLOVE ST,16,City
CENTENNIAL DR,16,City
MERCHANTS PARK CIR,16,City
N HOLLYWOOD ST,16,City
OLD GETWELL RD,16,City
PEARSON RD,16,City
NESHOBA RD,16,City
CASTLEMAN ST,16,City
CAZASSA RD,16,City
E PEEBLES RD,16,City
E MCLEMORE AVE,16,City
CORDOVA RD,16,City
S CLEVELAND ST,15,City
EAST ST,15,City
N MANASSAS ST,15,City
FOREST HILL IRENE RD,15,City
CARGO RD,15,City
ADAMS AVE,15,City
KANSAS ST,15,City
MACON RD,14,City
N THIRD ST,14,TDOT state route
E MALLORY AVE,14,City
PERKINS ROAD EXT,14,City
CRAIGMONT DR,14,City
N HIGHLAND ST,13,City
QUINCE RD,13,City
E BELZ BLVD,13,City
HORN LAKE RD,13,City
WOODCHASE DR,12,City
MOUNT MORIAH RD,12,City
E RAINES RD,12,City
ALABAMA AVE,12,City
STOUT RD,12,City
MILLINGTON ST,12,City
HORNET AVE,12,City
SEMMES ST,12,City
S YATES RD,12,City
BERCLAIR RD,12,City
BABE HOWARD AVE,12,City
S HOLMES ST,12,City
S FOURTH ST,12,City
NEW BRUNSWICK RD,12,City
NEW COVINGTON PIKE,12,TDOT state route
N BINGHAM ST,12,City
WINBROOK DR,11,City
SWINNEA RD,11,City
VANCE AVE,11,City
FLORIDA ST,11,City
BEALE ST,11,City
SHELBY ST,10,City
UNIVERSITY ST,10,City
NORTH ST,10,City
NORRIS RD,10,City
S WHITE STATION RD,10,City
CUMMINGS ST,10,City
N DANNY THOMAS BLVD,10,TDOT state route
N GRAHAM ST,10,City
KYLE ST,10,City
240 E TO PERKINS RD,10,Limited-access
MALONE RD,9,City
E HOLMES RD,9,City
KIRBY RD TO 385 N,9,Limited-access
S HIGHLAND ST,9,City
PLEASANT HILL RD,9,City
S PAULINE ST,9,City
N DUNLAP ST,9,City
S MANASSAS ST,9,City
GRAVES RD,8,City
55 N TO BROOKS RD,8,Limited-access
W BRIERBROOK RD,8,City
WOLF RIVER BLVD,8,City
W FAIRWAY AVE,8,City
W FARMINGTON BLVD,8,City
WILSON ST,8,City
VARNAVAS DR,8,City
LAKEVIEW RD,8,City
MARLIN RD,8,City
E FAIRWAY AVE,8,City
MILL AVE,8,City
ESTATE PL,8,City
KIRBY RD,8,City
KATE BOND BLVD,8,City
IKEA WAY,8,City
MCVAY RD,8,City
AIRLINE RD,8,City
STRATFORD RD,8,City
