StateRoute_NAME,crashes,fatal,people
UNION AVE,35,8,35
ELVIS PRESLEY BLVD,34,4,35
LAMAR AVE,33,7,35
S THIRD ST,21,7,22
SUMMER AVE,21,5,23
E SHELBY DR,21,3,21
JACKSON AVE,19,2,19
THOMAS ST,17,1,17
POPLAR AVE,16,5,17
S BELLEVUE BLVD,16,1,17
N DANNY THOMAS BLVD,9,2,9
N THIRD ST,7,1,7
AIRWAYS BLVD,7,0,7
S SECOND ST,7,0,7
E PARKWAY,6,1,6
S DANNY THOMAS BLVD,6,0,6
N GERMANTOWN PKWY,5,1,5
STATE ROUTE 385,5,1,5
WALNUT GROVE RD,5,1,6
AUSTIN PEAY HWY,5,0,6
N SECOND ST,5,0,5
COVINGTON PIKE,4,0,4
GETWELL RD,4,0,4
STAGE RD,4,0,4
N PARKWAY,3,0,3
DR MARTIN LUTHER KING JR AVE,2,1,2
NEW GETWELL RD,2,1,3
A W WILLIS AVE,1,0,1
CHELSEA AVE,1,0,1
DR MARTIN LUTHER KING JR,1,0,1
E E H CRUMP BLVD,1,0,1
N US HIGHWAY 51,1,0,1
S GERMANTOWN PKWY,1,0,1
S SOMERVILLE ST,1,0,1
US HIGHWAY 64,1,0,1
WEAVER RD,1,0,1
